Name,Ratings,Category
"1. Lahore Museum","216","Speciality Museums"
"2. Army Museum","55","Military Museums • Speciality Museums"
"3. AL-Hammra Art Centre","26","Art Galleries • Theaters"
"4. Tollinton Market","11","Art Museums • History Museums"
"5. Fakir Khana Museum Lahore","14","History Museums"
"6. National history museum","9","History Museums"
"7. Naqsh Art Gallery","10","Art Galleries"
"8. Nairang Art Gallery","9","Art Galleries"
"9. PIA Planetarium","1","Observatories & Planetariums"
"10. Alama Iqbal Museum","5","Speciality Museums"
"11. Shakir Ali Museum","1","Art Museums"
"12. Unicorn Gallery","4","Art Museums"
"13. Ocean Art Galleries","","Art Galleries"
"14. Winter Land - Lahore","","Children's Museums"
"15. The Gilani Sacred Relics","","History Museums"
"16. Oyster Art Gallery","","Art Galleries"
"17. Hanjra house","","Art Galleries"
"18. National History Museum","","History Museums"
"19. Gallery 96","","Art Galleries"
